"the_geom","OBJECTID","landmarkno","address","yearbuilt","Name","proptype","yeardes","desage","crit1","crit2","crit3","crit1txt","crit2txt","crit3txt","sigsum","context","style","archbuild","sigperson","ntlreg","doccontext","potcontext","legbus","culturaldist","potcultural","idencultural","culturalsum","cultural_1","rbrp","desdoc","pimlink","largephoto","thumbail","status","description"
"MULTIPOLYGON (((-122.419630810713 37.751899991591, -122.420035467862 37.751875587588, -122.420051485687 37.752042910952, -122.419646862712 37.752067670187, -122.419630810713 37.751899991591)))","93","234","3359 24th Street","1,915","Mission Branch Carnegie Library","Government","2,004","89","Y","N","Y","Associated with historic events",,"Significant for architecture or design or is the work of a master","Associated with historic events; Significant for architecture or design or is the work of a master","Great Constructions; Government, Planning, & Infrastructure, Municipal & Federal Buildings, Carnegie Libraries; Late 19th Early 20th Century Revival Styles, Italian Rennaissance","Italian
Renaissance; Spanish Eclectic",,"Andrew Carnegie",,,"Latinx HCS",,,,,,"N","Potentially classcist actions in opposition to the library.","https://sfplanninggis.org/docs/landmarks_and_districts/LM234.pdf","https://sfplanninggis.org/pim?search=6515/001","https://sfplanninggis.org/Preservation/Landmarks/Large/234.jpg","http://sfplanninggis.org/Preservation/Landmarks/Docs/234.jpg","Adopted","Coming Soon!"
"MULTIPOLYGON (((-122.433820592746 37.777509260644, -122.433863113592 37.777719408824, -122.433397552555 37.777778755086, -122.433355032609 37.777568606007, -122.433820592746 37.777509260644)))","208","151","1000 Fulton Street","1,904","The Archbishop's Mansion","Institutional","1,982","78","Y","Y","Y","Associated with historic events","Associated with individuals important to local, state, or national history","Significant for architecture or design or is the work of a master","Associated with historic events; Associated with individuals important to local, state, or national history; Significant for architecture or design or is the work of a master","Gold Rush to Earthquake; Private & Public Instituional, Spirituality, Churches - Archiocese residence; Victorian Era, 2nd Empire","Second Empire","Frank D. Shea","Archbishop Patrick Riordan",,,"Catholic-- if we were to develop a HCS on Catholicism",,,,,,"N","Further research needed on individuals discussed.","https://sfplanninggis.org/docs/landmarks_and_districts/LM151.pdf","https://sfplanninggis.org/pim?search=0778/006","https://sfplanninggis.org/Preservation/Landmarks/Large/151.jpg","http://sfplanninggis.org/Preservation/Landmarks/Docs/151.jpg","Adopted","Coming Soon!"
"MULTIPOLYGON (((-122.392508595995 37.79146246612, -122.393854649073 37.792536111852, -122.393185058843 37.793067031119, -122.39184137368 37.791995266768, -122.392508595995 37.79146246612)))","292","107","99 Mission Street","1,939","Rincon Annex Post Office","Government","1,980","41","Y","Y","Y","Associated with historic events","Associated with individuals important to local, state, or national history","Significant for architecture or design or is the work of a master","Associated with historic events; Associated with individuals important to local, state, or national history; Significant for architecture or design or is the work of a master","Great Constructions; Government & Infrastructure, Muni & Fed Infra., post offices; New Deal, WPA; Private & Public Institutional, Artistic Expression, murals; Architecture, Streamline Moderne","Art Moderne","Gilbert S. Underwood; Lews A. Simon",,"Yes","New Deal",,,,,,,"N",,"https://sfplanninggis.org/docs/landmarks_and_districts/LM107.pdf","https://sfplanninggis.org/pim?search=3716/021","https://sfplanninggis.org/Preservation/Landmarks/Large/107.jpg","http://sfplanninggis.org/Preservation/Landmarks/Docs/107.jpg","Adopted","Coming Soon!"
"MULTIPOLYGON (((-122.431500154808 37.780356603275, -122.431611350583 37.780342351718, -122.431978618418 37.780295543804, -122.432003399237 37.780418026071, -122.431524934728 37.780479086441, -122.431500154808 37.780356603275)))","169","105","1140-1190 Fillmore Street","1,900","Market Street Railway
Substation","Industrial","1,979","79","Y","N","Y","Associated with historic events",,"Significant for architecture or design or is the work of a master","Associated with historic events; Significant for architecture or design or is the work of a master","Gold Rush to Earthquake; Government & Infrastructure, Planning & Engineering, Transit Infrastructre;","Brick warehouse;
Greek-ish",,,,,,,,,,,"N",,"https://sfplanninggis.org/docs/landmarks_and_districts/LM105.pdf","https://sfplanninggis.org/pim?search=0756/015","https://sfplanninggis.org/Preservation/Landmarks/Large/105.jpg","http://sfplanninggis.org/Preservation/Landmarks/Docs/105.jpg","Adopted","Coming Soon!"
"MULTIPOLYGON (((-122.426931389272 37.789902890606, -122.427166309278 37.789873026819, -122.427241897296 37.790245853364, -122.427006607669 37.790275763016, -122.426931389272 37.789902890606)))","138","70","1990 California Street","1,881","Atherton House","Residential - SF","1,975","94","N","Y","Y",,"Associated with individuals important to local, state, or national history","Significant for architecture or design or is the work of a master","Associated with individuals important to local, state, or national history; Significant for architecture or design or is the work of a master","Gold Rush to Earthquake: Early Settlement, Pioneers; Architectural Styles, Queen Anne and Stick/Eastlake","Queen Anne; Stick-Eastlake","Moore Brothers; Charles J. Rousseau, remodel","Dominga De Goni Atherton",,,"women's history",,,"Women",,"Landmark is associated with a social, ethnic, or cultural group","Y",,"https://sfplanninggis.org/docs/landmarks_and_districts/LM70.pdf","https://sfplanninggis.org/pim?search=0640/010","https://sfplanninggis.org/Preservation/Landmarks/Large/70.jpg","http://sfplanninggis.org/Preservation/Landmarks/Docs/70.jpg","Adopted","Coming Soon!"
"MULTIPOLYGON (((-122.403852043537 37.756450848928, -122.403669948809 37.754535855046, -122.406292737919 37.754377479038, -122.406517974924 37.756753749586, -122.404171844255 37.756895053764, -122.404167434879 37.75689401145, -122.404163047986 37.75689290978, -122.404158686274 37.756891747856, -122.404154352441 37.756890524778, -122.404150044689 37.756889242345, -122.404145765714 37.756887899657, -122.404141517317 37.756886498513, -122.404137300396 37.756885038914, -122.404133114951 37.756883520858, -122.404128965479 37.756881945246, -122.404124850182 37.756880312976, -122.404120770857 37.75687862315, -122.404116731102 37.756876876667, -122.404112729119 37.756875075325, -122.404108767605 37.756873217325, -122.404104847461 37.756871306266, -122.404100969584 37.756869341247, -122.404097136673 37.75686732137, -122.40409334693 37.756865250231, -122.404089604851 37.756863126033, -122.404085909537 37.756860949673, -122.404082261887 37.75685872475, -122.404078664599 37.756856448566, -122.404075117672 37.75685412202, -122.404071623806 37.756851746911, -122.404068179403 37.756849323238, -122.404064791657 37.7568468528, -122.404061456971 37.756844335598, -122.404058178942 37.756841774329, -122.404054958469 37.756839165395, -122.404051793755 37.756836514194, -122.404048690195 37.756833818926, -122.40404564599 37.75683108049, -122.40404266024 37.756828300686, -122.404039738343 37.756825480412, -122.4040368776 37.756822618769, -122.404034080708 37.756819718455, -122.404031347668 37.75681678037, -122.404028680279 37.756813806312, -122.404026078541 37.756810793583, -122.404023543352 37.756807745781, -122.404021074713 37.756804663804, -122.404018674422 37.756801546754, -122.404016344279 37.756798397328, -122.404014083383 37.756795217326, -122.404011891735 37.756792005847, -122.404009771134 37.75678876469, -122.404007722478 37.756785494755, -122.404005746668 37.756782195142, -122.404003842803 37.756778870349, -122.404002012683 37.756775520374, -122.404000256307 37.75677214342, -122.403998574574 37.756768742184, -122.403996967486 37.756765321163, -122.403995435941 37.756761877659, -122.403993981737 37.756758412571, -122.403992231656 37.756753953732, -122.403852043537 37.756450848928)))","148",,"1001 POTRERO AV",,"SF General Hospital",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Work Program","Coming Soon!"
"MULTIPOLYGON (((-122.435125725772 37.750025292733, -122.435211947373 37.750020091954, -122.435242170889 37.75033225473, -122.434966260684 37.750348897584, -122.434936039866 37.750036734808, -122.435022260569 37.750031534028, -122.435125725772 37.750025292733)))","155","259","451-455 Jersey Street","1,916","Carnegie Noe Valley/Sally Brunn Branch Library","Government","2,008","93","Y","N","Y","Associated with historic events",,"Significant for architecture or design or is the work of a master","Associated with historic events; Significant for architecture or design or is the work of a master","Great Constructions; Government, Planning, and Infrastructure, Libraries, Carnegie; Architecture of the Progressive Era and Early 20th Century, Classical Revival","Classical Revival","John Reid, Jr.",,,,,,,,,,"N",,"https://sfplanninggis.org/docs/landmarks_and_districts/LM259.pdf","https://sfplanninggis.org/pim?search=0857/001A","https://sfplanninggis.org/Preservation/Landmarks/Large/259.jpg","http://sfplanninggis.org/Preservation/Landmarks/Docs/259.jpg","Adopted","Coming Soon!"
"MULTIPOLYGON (((-122.423539586283 37.78264388141, -122.423648916864 37.78262995361, -122.423714716661 37.78295534991, -122.42360538518 37.782969275912, -122.423539586283 37.78264388141)))","64","112","964 Eddy Street","1,880","Rothschild House","Residential - SF","1,980","100","N","N","Y",,,"Significant for architecture or design or is the work of a master","Significant for architecture or design or is the work of a master","Gold Rush to Earthquake; Residential, Single-Family; Gilded Age, Italianate","Italianate",,"Hugo Rothschild",,,"African-American; Redevelopment",,,"German",,"Landmark is associated with a social, ethnic, or cultural group","Y",,"https://sfplanninggis.org/docs/landmarks_and_districts/LM112.pdf","https://sfplanninggis.org/pim?search=0737/007","https://sfplanninggis.org/Preservation/Landmarks/Large/112.jpg","http://sfplanninggis.org/Preservation/Landmarks/Docs/112.jpg","Adopted","Built around 1880 for Hugo Rothschild, a candy maker originally from Germany, this Italianate house features slanted bay windows, decorative brackets at the broad cornice, and quoins applied at the corners. It once belonged to a row of similarly styled houses but is the only one that survived the wrecking ball during the 1960s."
"MULTIPOLYGON (((-122.43750120042 37.774238974949, -122.437239898802 37.774272461205, -122.437226112195 37.774204681101, -122.437487412014 37.774171193946, -122.43750120042 37.774238974949)))","97","182","500-502 Divisadero Street","1,888","Theodore Green Apothecary","Commercial","1,986","98","Y","N","Y","Associated with historic events",,"Significant for architecture or design or is the work of a master","Associated with historic events; Significant for architecture or design or is the work of a master","Gold Rush to Earthquake: Commercial, Pharmacy; Architectural Styles, Victorian-Era, Queen Anne","Queen Anne","Samuel Newsom","Theodore Green",,,,,,,,,"N","Further research needed on individuals discussed.","https://sfplanninggis.org/docs/landmarks_and_districts/LM182.pdf","https://sfplanninggis.org/pim?search=1203/017A","https://sfplanninggis.org/Preservation/Landmarks/Large/182.jpg","http://sfplanninggis.org/Preservation/Landmarks/Docs/182.jpg","Adopted","Coming Soon!"
"MULTIPOLYGON (((-122.400055615774 37.787957889945, -122.400204115427 37.788075875601, -122.400142812241 37.78812432208, -122.399994280212 37.788006311242, -122.400055615774 37.787957889945)))","44","271","90-92 2nd Street","1,903","Bourdette Building","Commercial","2,016","1,113","Y","N","Y","Associated with historic events",,"Significant for architecture or design or is the work of a master","Associated with historic events; Significant for architecture or design or is the work of a master","Gold Rush to Earthquake; Events that Shaped the City, 1906 Earthquake and Reconstruction; Commercial, Downtown Core, Merchants, Leaders, & Commercial Identity; Architecture of the Progressive Era and Early 20th Century, Classical Revival","Classical Revival","Bliss & Faville (architects), J. C. Bateman (contractor)",,,,,,,,,,"N",,"https://sfplanninggis.org/docs/landmarks_and_districts/LM271.pdf","https://sfplanninggis.org/pim?search=3707012","https://sfplanninggis.org/Preservation/Landmarks/Large/271.jpg","http://sfplanninggis.org/Preservation/Landmarks/Docs/271.jpg","Adopted","Built in 1903-1904, the Bourdette Building is a remarkable survivor of the 1906 Earthquake and Fire. Among the more than 28,000 buildings that were destroyed during the disaster, it is the only building located within the burned districts to survive intact with no one inside or outside the building fighting to save it from the flames."
"MULTIPOLYGON (((-122.438193362733 37.772559016186, -122.438278753362 37.772548073235, -122.438354850396 37.772922168723, -122.438184069139 37.772944057323, -122.438107973004 37.772569960036, -122.438193362733 37.772559016186)))","275","62","1153 Oak Street","1,885","Old Mish House","Residential - SF","1,974","89","N","Y","Y",,"Associated with individuals important to local, state, or national history","Significant for architecture or design or is the work of a master","Associated with individuals important to local, state, or national history; Significant for architecture or design or is the work of a master","Gold Rush to Earthquake: Early Settlement, Commercial Pioneers; Architectural Styles, Victorian Era, Stick/Eastlake","Eastlake","McDougall & Sons","Sarah Mish, Phenes Mish; Mish Family","Yes",,"women's history; Jewish History",,,"Women; Jewish",,"Landmark is associated with a social, ethnic, or cultural group","Y",,"https://sfplanninggis.org/docs/landmarks_and_districts/LM62.pdf","https://sfplanninggis.org/pim?search=1218/029","https://sfplanninggis.org/Preservation/Landmarks/Large/62.jpg","http://sfplanninggis.org/Preservation/Landmarks/Docs/62.jpg","Adopted","Coming Soon!"
"MULTIPOLYGON (((-122.434530004056 37.745233266902, -122.434564082067 37.745544758784, -122.434477855968 37.745549919993, -122.434443777958 37.745238413722, -122.434530004056 37.745233266902)))","87","292","651 Duncan Street","0","Lyon Martin House","Residential","2,021","0","Y","Y","N","Associated with historic events","Associated with individuals important to local, state, or national history",,"Associated with historic events; Associated with individuals important to local, state, or national history","Great Constructions; LGBTQ; Women's Rights","Shingle? Unclear",,"Phyllis Lyon; Del Martin",,"LGBTQ",,,,,"LGBTQ; Women","Landmark is associated with a social, ethnic, or cultural group","Y",,"https://sfplanninggis.org/docs/landmarks_and_districts/LM292.pdf","https://sfplanninggis.org/pim?search=6604036","https://sfplanninggis.org/Preservation/Landmarks/Large/292.jpg","http://sfplanninggis.org/Preservation/Landmarks/Docs/292.jpg","Adopted","The Lyon-Martin House is significant for association with the development of the homophile movement in San Francisco through the founding in 1955 of the Daughters of Bilitis (DOB), the nation’s first lesbian-rights organization, and for association with Phyllis Lyon and Del Martin, both pioneering lesbian-rights and feminist activists. Phyllis Lyon and Del Martin were both internationally known lesbian-rights activists with deep roots in the LGBTQ civil rights movement and were also the first same-sex couple to be married in San Francisco in 2004 and in 2008. Del Martin and Phyllis Lyon were one of the four couples that founded the Daughters of Bilitis in San Francisco and they often hosted DOB parties and fundraising events in their home during the early years of the organization, when it was a secret group. The first national lesbian-rights organization in the United States, Daughters of Bilitis (DOB), was initially organized as a social group where lesbians could meet and socialize. The organization soon added a newsletter, The Ladder, which became an internationally known magazine, and then to develop a network of local chapters and public biennial conventions on issues of importance to lesbians and gay men. 651 Duncan Street was Lyon’s and Martin’s residence and the place that is most representative of their productive lives as activists, organizers, writers, educators, and icons. As outlined in Citywide Historic Context Statement for LGBTQ History in San Francisco, the Lyon-Martin House is associated with significant events and persons under Theme 4: Homophile Movements (1950s to 1960s). The Daughters of Bilitis, Phyllis Lyon, Del Martin, and “…their home in San Francisco’s Noe Valley neighborhood” are also discussed in the National Park Service’s LGBT America, A Theme Study of Lesbian, Gay, Bisexual, Transgender, and Queer History."
"MULTIPOLYGON (((-122.458456622675 37.781731029963, -122.458729751277 37.781718919693, -122.458808057945 37.782799537869, -122.458397192776 37.782817158285, -122.458398411358 37.782833857796, -122.457983775331 37.782851638293, -122.457903840889 37.781755540086, -122.458387524165 37.781734094853, -122.458456622675 37.781731029963)))","79","285","460 Arguello Boulevard","0","Theodore Roosavelt Middle School","Educational","2,019","90","N","N","Y",,,"Significant for architecture or design or is the work of a master","Significant for architecture or design or is the work of a master","Great Constructions; Government, Planning, & Infrastructure, New Deal; Private and Public Institutional, Public Education, Golden Age of Schools; Artistic Expression, Murals;","Dutch/ German Expressionist","Miller & Pflueger",,,"New Deal",,,,,,,"N",,"https://sfplanninggis.org/docs/landmarks_and_districts/LM285.pdf","https://sfplanninggis.org/pim?search=1061049","https://sfplanninggis.org/Preservation/Landmarks/Large/285.jpg","http://sfplanninggis.org/Preservation/Landmarks/Docs/285.jpg","Adopted","Theodore Roosevelt Middle School is an excellent and well‐preserved public school built during the “Golden Age” of school construction in San Francisco. Designed by master architect Timothy Pflueger of Miller & Pflueger Architects, Roosevelt is one of San Francisco’s most idiosyncratic buildings due to its unique Dutch/German Expressionist styling. It is the only building in San Francisco (and possibly the United States) known to be designed in this avantgarde style. Theodore Roosevelt Middle School is significant for its association with master architect Timothy Pflueger, one of the most talented and influential architects to have worked in San Francisco during the first half of the twentieth century. Roosevelt is also significant for its association with high artistic values, in particular its three well‐preserved New Deal murals, including a pair in the main lobby by Horatio Nelson Poole and one above the second‐floor entrance to the auditorium by George Wilson Walker."
"MULTIPOLYGON (((-122.454960515415 37.771900069433, -122.454830759432 37.771960594706, -122.454774694796 37.771884862796, -122.454568064764 37.771981246737, -122.454463754199 37.771840341858, -122.454800139315 37.771683431745, -122.454960515415 37.771900069433)))","211","175","Golden Gate Park","1,896","McLaren Lodge","Government -
Park","1,984","88","Y","Y","Y","Associated with historic events","Associated with individuals important to local, state, or national history","Significant for architecture or design or is the work of a master","Associated with historic events; Associated with individuals important to local, state, or national history; Significant for architecture or design or is the work of a master","Gold Rush to Earthquake: Government & Infrastructure, Parks & Recreation; Landscapes, Designed, Historic, Cultural; Late 19th/Early 20th C. Revival Period, Romanesque","Richardsonian
Renaissance","Edward R. Swain","John McLaren","Yes - Part of Golden Gate Park",,,,,,,,"N","further research needed on individuals discussed.","https://sfplanninggis.org/docs/landmarks_and_districts/LM175.pdf","https://sfplanninggis.org/pim?search=1700/001","https://sfplanninggis.org/Preservation/Landmarks/Large/175.jpg","http://sfplanninggis.org/Preservation/Landmarks/Docs/175.jpg","Adopted","Coming Soon!"
"MULTIPOLYGON (((-122.436276044104 37.777196229123, -122.436407259687 37.777179499035, -122.436461980736 37.777450677007, -122.436330919836 37.777467386411, -122.436276044104 37.777196229123)))","221","135","1198 Fulton Street","1,889","Westerfeld House","Residential - SF","1,981","92","N","N","Y",,,"Significant for architecture or design or is the work of a master","Significant for architecture or design or is the work of a master","Gold Rush to Earthquake; Residential, Streetcar; Victorian Era, Stick/Eastlake; balloon frame;","Stick Eastlake","Henry Geilfuss","William Westerfeld; Kenneth Anger","Yes","Russian; Counter culture",,,,"Russian; German",,"Landmark is associated with a social, ethnic, or cultural group","Y","Further research needed on individuals discussed.","https://sfplanninggis.org/docs/landmarks_and_districts/LM135.pdf","https://sfplanninggis.org/pim?search=0777/015","https://sfplanninggis.org/Preservation/Landmarks/Large/135.jpg","http://sfplanninggis.org/Preservation/Landmarks/Docs/135.jpg","Adopted","Coming Soon!"
"MULTIPOLYGON (((-122.441102675848 37.792088210802, -122.441173016322 37.792435373394, -122.4407715059 37.792486463879, -122.440701166326 37.792139302187, -122.440726794306 37.792136041245, -122.441102675848 37.792088210802)))","198","207","2799 Pacific Avenue","1,893","Ellinwood House","Residential - SF","1,994","101","Y","N","Y","Associated with historic events",,"Significant for architecture or design or is the work of a master","Associated with historic events; Significant for architecture or design or is the work of a master","Gold Rush to Earthquake; Residential, Single-Family, Streetcar Suburbanization; Architectural Styles, Late 19th & Early 20th Century Revival Styles, Colonial Revival","Colonial Revival","J. Eugene Freeman","Dr. Charles Ellinwood",,,,,,,,,"N",,"https://sfplanninggis.org/docs/landmarks_and_districts/LM207.pdf","https://sfplanninggis.org/pim?search=0978/010","https://sfplanninggis.org/Preservation/Landmarks/Large/207.jpg","http://sfplanninggis.org/Preservation/Landmarks/Docs/207.jpg","Adopted","Coming Soon!"
"MULTIPOLYGON (((-122.430003282725 37.790795254597, -122.429933271403 37.790449010214, -122.430172515349 37.790418832563, -122.430242526671 37.790765076947, -122.430238252193 37.790765617439, -122.430149961252 37.790776752845, -122.43006166941 37.790787890949, -122.430003282725 37.790795254597)))","187","119","2220-2222 Sacramento Street","1,887","Chambers Mansion","Residential - SF","1,980","93","N","N","Y",,,"Significant for architecture or design or is the work of a master","Significant for architecture or design or is the work of a master","Gold Rush to Earthquake; Residential, Streetcar; Victorian Era, Queen Anne","Queen Anne","J.C. Mathews & Son; Houghton Sawyer (added towner in 1917)","R.C. Chambers",,,,,,,,,"N","Further research needed on individuals discussed.","https://sfplanninggis.org/docs/landmarks_and_districts/LM119.pdf","https://sfplanninggis.org/pim?search=0627/054","https://sfplanninggis.org/Preservation/Landmarks/Large/119.jpg","http://sfplanninggis.org/Preservation/Landmarks/Docs/119.jpg","Adopted","Coming Soon!"
"MULTIPOLYGON (((-122.403568688744 37.7915163499, -122.403600788246 37.791672196115, -122.403444179405 37.791692159266, -122.403365873636 37.791702140841, -122.403287566968 37.791712122417, -122.403209261198 37.791722103992, -122.40313250586 37.791349426735, -122.40305420099 37.79135940831, -122.402977934884 37.790989102565, -122.40309538994 37.790974130652, -122.403212851292 37.790959159638, -122.403447763204 37.790929214012, -122.403490536759 37.79113689715, -122.403501701842 37.791191104686, -122.403512866925 37.791245312222, -122.403524031109 37.791299519757, -122.403546360376 37.791407934828, -122.40355752456 37.791462143263, -122.403568688744 37.7915163499)))","63","113","350 Bush Street","1,923","S.F. Curb Mining Exchange","Commercial","1,980","57","Y","N","Y","Associated with historic events",,"Significant for architecture or design or is the work of a master","Associated with historic events; Significant for architecture or design or is the work of a master","Great Constructions; Commercial, Downtown Core, Merchants & Leaders; Late 19th/ Early 20th C. Revival Period, Beaux Arts","Classical","Miller & Pflueger",,,,,,,,,,"N",,"https://sfplanninggis.org/docs/landmarks_and_districts/LM113.pdf","https://sfplanninggis.org/pim?search=0269/028","https://sfplanninggis.org/Preservation/Landmarks/Large/113.jpg","http://sfplanninggis.org/Preservation/Landmarks/Docs/113.jpg","Adopted","The Mining Exchange Building, designed by architects James R. Miller and Timothy L. Pflueger in 1923. The exterior of this monumental banking hall is designed in the Neoclassical style featuring sculpted Greek and Roman-inspired terra cotta ornamentation, fluted columns, a tympanum decorated with figures in relief, and oversized acroteria along its roofline. In its prime, the building was equipped with modern features such as public telephones and was linked to financial centers across the country by private telegraph wires. The building was originally occupied by the Stock Exchange, the nation’s first exchange that specialized in mining stocks. A product of the city’s booming 1920s stock market, the exchange was instrumental in making San Francisco the financial center of the West. In 1927, the name was changed to the Mining Exchange; by 1928 the building was occupied by the Curb Exchange, a securities trading exchange that operated until 1938."
"MULTIPOLYGON (((-122.459378568966 37.769004659837, -122.458924182005 37.769110699799, -122.458781230269 37.7687318433, -122.4589208734 37.768696524225, -122.45886473412 37.768556652668, -122.459018374298 37.768517793861, -122.459074513578 37.768657665419, -122.459235419379 37.768618126725, -122.459378568966 37.769004659837)))","113","181","Golden Gate Park","1,915","Lawn Bowling Clubhouse and Greens","Government -
Park","1,986","71","Y","Y","N","Associated with historic events","Associated with individuals important to local, state, or national history",,"Associated with historic events; Associated with individuals important to local, state, or national history","Great Constructions; Government, Planning, & Infrastructure, Municipal and Federal Buildings, Parks & Rec. Buildings; Landscapes; Architecture of the Progressive Era and Early 20th Century, Classical Revival","Edwardian;
Classical",,"John McLaren, James Rolph Jr.",,,,,,,,,"N","Further research needed on individuals discussed.","https://sfplanninggis.org/docs/landmarks_and_districts/LM181.pdf","https://sfplanninggis.org/pim?search=1700/001","https://sfplanninggis.org/Preservation/Landmarks/Large/181.jpg","http://sfplanninggis.org/Preservation/Landmarks/Docs/181.jpg","Adopted","Coming Soon!"
"MULTIPOLYGON (((-122.403674353688 37.794363304923, -122.403707741919 37.794525404124, -122.403236493569 37.794585601145, -122.403169608291 37.794260849659, -122.403639452798 37.794200961106, -122.403672928263 37.794363484787, -122.403674353688 37.794363304923)))","336","34","608-610 Commercial Street","1,906","U.S. Mint & Subtreasury
Building","Government","1,970","64","Y","N","N","Associated with historic events",,,"Associated with historic events","Gold Rush to Earthquake: Early Settlement, Commercial","Classical Revival",,"Bret Harte, Agoston Harazsthy; J. Ross Brown",,,,,,,,,"N",,"https://sfplanninggis.org/docs/landmarks_and_districts/LM34.pdf","https://sfplanninggis.org/pim?search=0227/048","https://sfplanninggis.org/Preservation/Landmarks/Large/34.jpg","http://sfplanninggis.org/Preservation/Landmarks/Docs/34.jpg","Adopted","Coming Soon!"
"MULTIPOLYGON (((-122.419596996204 37.77847453717, -122.419601244602 37.778477423095, -122.419605558649 37.778480249664, -122.419609932053 37.778483016878, -122.41961436661 37.778485722938, -122.419618859623 37.778488366945, -122.419623411091 37.778490947999, -122.419628019218 37.778493467, -122.419632680404 37.77849592125, -122.419637393751 37.778498308051, -122.419642161057 37.778500631899, -122.419646977826 37.778502888298, -122.419651844057 37.778505078147, -122.419656756154 37.778507199648, -122.419661715915 37.7785092528, -122.419666718844 37.778511236704, -122.41967176494 37.77851315316, -122.419676853304 37.77851499677, -122.419681981238 37.778516771132, -122.419687146944 37.778518474448, -122.419692348623 37.77852010402, -122.419697586274 37.778521663444, -122.4197028581 37.778523149124, -122.419708159604 37.77852456106, -122.419716064645 37.778526517085, -122.419985167881 37.779857716061, -122.419979618165 37.779861109203, -122.419974144891 37.779864576989, -122.419968748059 37.779868123016, -122.419963428569 37.779871740089, -122.419958190918 37.779875431806, -122.419953036004 37.779879196368, -122.419947962928 37.779883029279, -122.419942976187 37.779886933236, -122.419938074882 37.77989090644, -122.419933261711 37.779894946195, -122.419928537572 37.7798990516, -122.419923906963 37.779903221756, -122.419919367185 37.779907455765, -122.419914921836 37.779911752725, -122.419910570916 37.779916109941, -122.419906316223 37.77992052831, -122.419902159557 37.779925002437, -122.419898101816 37.77992953502, -122.419894144799 37.779934121563, -122.41988928756 37.779939998632, -122.418819126701 37.780076277398, -122.418815495239 37.780073510184, -122.418811801723 37.780070795131, -122.418808048852 37.780068132239, -122.418804239324 37.780065520607, -122.418800373139 37.780062961137, -122.418796450296 37.780060455626, -122.418792472594 37.780058007671, -122.418788441833 37.780055612776, -122.41878435981 37.78005327364, -122.418780227425 37.780050993858, -122.41877604288 37.780048769835, -122.418771813368 37.780046605167, -122.418767535293 37.780044498055, -122.418763209554 37.780042451198, -122.418758843346 37.780040464596, -122.418754432171 37.780038538248, -122.418749978728 37.780036673953, -122.418741946883 37.780033505642, -122.418466192261 37.778669302446, -122.418469886676 37.778666537031, -122.418473520836 37.778663721254, -122.418477091145 37.778660855115, -122.418480596702 37.778657941311, -122.418484040206 37.778654978045, -122.41848741716 37.778651968014, -122.418490726666 37.778648912118, -122.418493969621 37.778645811255, -122.418497144228 37.778642665427, -122.418500246889 37.778639474632, -122.418503281201 37.778636243368, -122.41850624177 37.778632969836, -122.418509132191 37.778629655834, -122.418511947968 37.778626302262, -122.418514689102 37.778622910019, -122.41851735739 37.778619480005, -122.418519948337 37.778616014917, -122.418523336982 37.778611260202, -122.419596996204 37.77847453717)))","226","21","400 Van Ness Avenue","1,913","San Francisco City Hall","Government","1,970","57","N","N","Y",,,"Significant for architecture or design or is the work of a master","Significant for architecture or design or is the work of a master","Reconstruciton Era; Government & Infrastructure: Mun. & Fed Infrastructure, Gov Admin; 1906 Earthquake & Burn Areas; Architectural Styles: Late 19th/Early 20th Revival Periods, Classical Revival","Classical Revival","Bakewell & Brown; interior by Louis Bourgeois; rotunda sculptures by Henri Crenier","James Rolph, John Galen Howard","Yes - Part of Civic Center NHL and HD",,,,,,,,"N",,"https://sfplanninggis.org/docs/landmarks_and_districts/LM21.pdf","https://sfplanninggis.org/pim?search=0787/001","https://sfplanninggis.org/Preservation/Landmarks/Large/21.jpg","http://sfplanninggis.org/Preservation/Landmarks/Docs/21.jpg","Adopted","Coming Soon!"
